Variable_35st_m_rhog,Contribución (%)_35st_m_rhog,Carga_PC1_35st_m_rhog,Max_Corr_35st_m_rhog,Dirección_35st_m_rhog,Lag_35st_m_rhog
pc macro,50.0,0.7071,0.9561,Directa,-3
pc riesgo hogares,50.0,0.7071,0.8965,Directa,2
