Variable_34st_gt1,Contribución (%)_34st_gt1,Carga_PC1_34st_gt1,Max_Corr_34st_gt1,Dirección_34st_gt1,Lag_34st_gt1
Endeudamiento gt1,50.0,0.7071,0.9458,Directa,0
Macro gt1,50.0,0.7071,0.9458,Directa,0
