Variable_30r_gt9,Contribución (%)_30r_gt9,Carga_PC1_30r_gt9,Max_Corr_30r_gt9,Dirección_30r_gt9,Lag_30r_gt9
OSR_Cataluña,25.63,0.5125,0.9399,Directa,1
OSR_Cantabria,25.07,0.5012,0.9207,Directa,1
AAPP_Cataluña,24.7,0.4938,0.928,Directa,-1
AAPP_Cantabria,24.61,0.4922,0.8818,Directa,0
