Variable_34st_gt4,Contribución (%)_34st_gt4,Carga_PC1_34st_gt4,Max_Corr_34st_gt4,Dirección_34st_gt4,Lag_34st_gt4
Endeudamiento gt4,50.0,0.7071,0.9013,Directa,0
Macro gt4,50.0,0.7071,0.9013,Directa,0
