Variable_8r_resi,Contribución (%)_8r_resi,Carga_PC1_8r_resi,Max_Corr_8r_resi,Dirección_8r_resi,Lag_8r_resi
R_Residentes,50.0,0.7071,0.9109,Directa,-1
R_No_Residentes,50.0,0.7071,0.9461,Directa,2
