Variable_30r_gt6,Contribución (%)_30r_gt6,Carga_PC1_30r_gt6,Max_Corr_30r_gt6,Dirección_30r_gt6,Lag_30r_gt6
OSR_Navarra,31.47,0.597,0.9828,Directa,1
OSR_Andalucia,31.25,0.5927,0.984,Directa,1
AAPP_Andalucia,26.31,0.499,0.8311,Directa,-1
AAPP_Navarra,10.97,0.208,0.6024,Directa,-3
