Variable_33m_gt4,Contribución (%)_33m_gt4,Carga_PC1_33m_gt4,Max_Corr_33m_gt4,Dirección_33m_gt4,Lag_33m_gt4
PIB gt4,48.0,0.7075,0.9909,Directa,0
Renta gt4,47.76,0.7039,0.9858,Directa,0
Paro gt4,4.24,0.0624,0.3622,Directa,-3
