,Categoría,Media,Mínimo,Máximo,Mediana,N.º Obs
0,Empresas,"17,89","4,08","31,69","17,89",2
1,Población,"397,47","337,10","445,80","409,50",3
2,S,"15,31","1,00","36,88","10,55",6
