Variable_34st_gt5,Contribución (%)_34st_gt5,Carga_PC1_34st_gt5,Max_Corr_34st_gt5,Dirección_34st_gt5,Lag_34st_gt5
Endeudamiento gt5,50.0,0.7071,0.9264,Directa,0
Macro gt5,50.0,0.7071,0.9264,Directa,0
