Variable_26r_ccaa,Contribución (%)_26r_ccaa,Carga_PC1_26r_ccaa,Max_Corr_26r_ccaa,Dirección_26r_ccaa,Lag_26r_ccaa
Sintético OSR por CCAA,50.0,0.7071,0.9685,Directa,2
Sintético AAPP por CCAA,50.0,0.7071,0.9218,Directa,-1
