Nivel,OLS,XGBoost
Nivel 1: Radar,0.8317637147659291,0.9763703888717714
Nivel 2: Motor,0.9447635478965835,0.9805135305749065
Nivel 3: Territorio,0.0754057234852491,0.7736030108376394
