Variable_26r_gt,Contribución (%)_26r_gt,Carga_PC1_26r_gt,Max_Corr_26r_gt,Dirección_26r_gt,Lag_26r_gt
AAPP gt2,14.71,0.4095,0.9597,Directa,0
AAPP gt5,14.67,0.4083,0.957,Directa,0
AAPP gt7,13.73,0.3823,0.8959,Directa,0
AAPP gt8,12.71,0.3539,0.8294,Directa,0
AAPP gt3,12.65,0.3523,0.8773,Directa,-2
AAPP gt1,12.63,0.3518,0.8307,Directa,-1
AAPP gt6,11.69,0.3256,0.763,Directa,0
AAPP gt9,7.21,0.2007,0.5003,Directa,2
