cluster,n_grupos,Grupos_en_cluster,pc_m_s,pc_r_s
0,2,"agricultura, industria",0.7049179281764373,0.582218888166872
1,1,servicios,1.9817705542776818,0.9653288430622107
2,1,construccion,0.36898870916103504,1.218793363097463
