Variable_30r_gt8,Contribución (%)_30r_gt8,Carga_PC1_30r_gt8,Max_Corr_30r_gt8,Dirección_30r_gt8,Lag_30r_gt8
OSR_Galicia,32.84,0.6161,0.9797,Directa,1
OSR_LaRioja,32.37,0.6073,0.9751,Directa,1
AAPP_LaRioja,24.81,0.4654,0.8709,Directa,-3
AAPP_Galicia,9.98,0.1872,0.4507,Directa,-3
