Variable_34st_gt3,Contribución (%)_34st_gt3,Carga_PC1_34st_gt3,Max_Corr_34st_gt3,Dirección_34st_gt3,Lag_34st_gt3
Endeudamiento gt3,50.0,0.7071,0.9117,Directa,0
Macro gt3,50.0,0.7071,0.9117,Directa,0
