Variable_33m_gt1,Contribución (%)_33m_gt1,Carga_PC1_33m_gt1,Max_Corr_33m_gt1,Dirección_33m_gt1,Lag_33m_gt1
PIB gt1,37.82,0.6487,0.9813,Directa,0
Renta gt1,35.28,0.6052,0.9155,Directa,0
Paro gt1,26.9,0.4614,0.7424,Directa,-3
