Variable_30r_gt2,Contribución (%)_30r_gt2,Carga_PC1_30r_gt2,Max_Corr_30r_gt2,Dirección_30r_gt2,Lag_30r_gt2
OSR_Valencia,50.0,0.7071,0.9572,Directa,2
AAPP_Valencia,50.0,0.7071,0.9078,Directa,-1
