Variable_30r_gt7,Contribución (%)_30r_gt7,Carga_PC1_30r_gt7,Max_Corr_30r_gt7,Dirección_30r_gt7,Lag_30r_gt7
OSR_Asturias,30.45,0.5934,0.9322,Directa,0
OSR_Extremadura,29.46,0.574,0.9234,Directa,1
AAPP_Extremadura,24.22,0.472,0.7415,Directa,0
AAPP_Asturias,15.87,0.3092,0.5538,Directa,-1
