,Variable,Media,Mínimo,Máximo,Mediana
88,15_dudoso,"24.645,85","1.837,19","94.172,88","12.008,33"
89,16_dudoso,"20.835,98","1.719,63","79.230,29","9.605,69"
90,17_dudoso,"16.372,93","1.514,67","60.681,45","8.349,90"
91,18_dudoso,"10.287,78","1.319,77","37.478,98","4.061,72"
92,19_dudoso,"8.174,23","1.290,78","28.910,93","3.047,40"
93,20_dudoso,"7.949,95","1.233,27","28.648,01","2.553,32"
94,21_dudoso,"7.510,54","1.189,32","27.180,12","2.304,71"
95,22_dudoso,"6.650,70","1.111,27","23.758,81","2.141,88"
96,23_dudoso,"6.245,53","1.130,30","21.906,41","2.060,01"
97,24_dudoso,"4.572,66","1.123,44","13.424,74","2.031,93"
98,17_numprestamo,"1.819,35","145,97","5.262,93","938,94"
99,18_numprestamo,"1.872,56","156,10","5.442,11","1.002,41"
100,19_numprestamo,"1.945,05","163,69","5.817,42","1.000,49"
101,20_numprestamo,"1.950,42","168,71","5.889,94","943,44"
102,21_numprestamo,"1.382,62","171,35","3.108,90","908,34"
103,22_numprestamo,"1.418,94","171,49","3.206,39","930,84"
104,23_numprestamo,"1.489,85","175,32","3.480,62","981,35"
105,24_numprestamo,"1.505,36","173,95","3.546,49","974,47"
106,17_importemedptmo,"484,48","56,66","2.017,00","117,16"
107,18_importemedptmo,"478,84","52,88","2.018,00","106,78"
108,19_importemedptmo,"472,82","49,27","2.019,00","103,75"
109,20_importemedptmo,"476,09","54,05","2.020,00","109,43"
110,21_importemedptmo,"485,06","84,92","2.021,00","102,48"
111,22_importemedptmo,"485,15","87,17","2.022,00","98,92"
112,23_importemedptmo,"477,15","77,61","2.023,00","89,83"
113,24_importemedptmo,"476,82","77,68","2.024,00","89,73"
