cluster_4,CCAA,GT,ISC,Vang,Gap_Inst,R2_OLS (n1),R2_XGB (n1),gap R2 (n1),MAE_OLS (n1),MAE_XGB (n1),gap MAE (n1),Beta_Estr (n1),Beta_Coyu (n1),Beta_Fin (n1),Beta_Lab (n1),Beta_Inmo (n1),R2_OLS (n2),R2_XGB (n2),gap R2 (%) (n2),MAE_OLS (n2),MAE_XGB (n2),gap MAE (%) (n2),Beta_Agr (n2),Beta_Ind (n2),Beta_Cons (n2),Beta_Serv (n2),ADN (n3),Alfa,Gamma (n4),IRT_2026
C0_Dinámico,MADRID,GT3,0.2152,1,2,0.6881451026159631,0.9703302635081772,28.218516089221414,0.4454092155417689,0.1315486962137086,70.46565458828668,0.3335467791637228,-0.2678700547559008,0.1378940304497289,-0.4247493150281454,0.3259330165463048,0.8698556010095543,0.9736932116671616,10.383761065760734,0.2965524338291069,0.1208177979571666,59.2592121409498,-1.233853244203971,1.0034276946993022,0.2858088534407772,-0.1912567205267601,0.919341632154173,1.0,1.0087,0.30931123828724283
C0_Dinámico,CANARIAS,GT5,0.2276,0,0,0.6881451026159631,0.9703302635081772,28.218516089221414,0.4454092155417689,0.1315486962137086,70.46565458828668,0.3335467791637228,-0.2678700547559008,0.1378940304497289,-0.4247493150281454,0.3259330165463048,0.8698556010095543,0.9736932116671616,10.383761065760734,0.2965524338291069,0.1208177979571666,59.2592121409498,-1.233853244203971,1.0034276946993022,0.2858088534407772,-0.1912567205267601,0.9723148488768112,0.1008961077347585,1.0055,0.3260962048498898
C0_Dinámico,CEUTAMELILLA,GT1,0.23835,1,2,0.6881451026159631,0.9703302635081772,28.218516089221414,0.4454092155417689,0.1315486962137086,70.46565458828668,0.3335467791637228,-0.2678700547559008,0.1378940304497289,-0.4247493150281454,0.3259330165463048,0.8698556010095543,0.9736932116671616,10.383761065760734,0.2965524338291069,0.1208177979571666,59.2592121409498,-1.233853244203971,1.0034276946993022,0.2858088534407772,-0.1912567205267601,1.0182392101484532,0.0,,
C1_Base,MURCIA,GT3,0.2377,0,0,0.7278314270499164,0.9752143587250705,24.73829316751539,0.4313005976736359,0.1232246988957315,71.42950889463518,0.3778277090768915,-0.2845229571964571,0.1167538767154792,-0.5046299955661345,0.4478520943127056,0.8896057611779792,0.9777340160765003,8.812825489852127,0.2777113119339268,0.1112215423754901,59.95066185782449,-1.064977627890187,0.8190465772637477,0.3453182807570145,-0.0214780665769895,1.0154623883041214,0.0648465588510785,1.0099,0.3874681591221793
C1_Base,ANDALUCIA,GT6,0.239,0,0,0.7278314270499164,0.9752143587250705,24.73829316751539,0.4313005976736359,0.1232246988957315,71.42950889463518,0.3778277090768915,-0.2845229571964571,0.1167538767154792,-0.5046299955661345,0.4478520943127056,0.8896057611779792,0.9777340160765003,8.812825489852127,0.2777113119339268,0.1112215423754901,59.95066185782449,-1.064977627890187,0.8190465772637477,0.3453182807570145,-0.0214780665769895,1.021016031992785,0.4162218752173248,1.0038,0.3872340672621469
C1_Base,EXTREMADURA,GT7,0.2455999999999999,0,0,0.7278314270499164,0.9752143587250705,24.73829316751539,0.4313005976736359,0.1232246988957315,71.42950889463518,0.3778277090768915,-0.2845229571964571,0.1167538767154792,-0.5046299955661345,0.4478520943127056,0.8896057611779792,0.9777340160765003,8.812825489852127,0.2777113119339268,0.1112215423754901,59.95066185782449,-1.064977627890187,0.8190465772637477,0.3453182807570145,-0.0214780665769895,1.0492114537967698,0.0392813600419137,0.9955,0.3946372647056046
C1_Base,LARIOJA,GT8,0.2464,0,0,0.7278314270499164,0.9752143587250705,24.73829316751539,0.4313005976736359,0.1232246988957315,71.42950889463518,0.3778277090768915,-0.2845229571964571,0.1167538767154792,-0.5046299955661345,0.4478520943127056,0.8896057611779792,0.9777340160765003,8.812825489852127,0.2777113119339268,0.1112215423754901,59.95066185782449,-1.064977627890187,0.8190465772637477,0.3453182807570145,-0.0214780665769895,1.0526290806821017,0.0120443521710594,0.9974,0.3966783817332721
C1_Base,CASTILLALEON,GT4,0.2508,0,1,0.7278314270499164,0.9752143587250705,24.73829316751539,0.4313005976736359,0.1232246988957315,71.42950889463518,0.3778277090768915,-0.2845229571964571,0.1167538767154792,-0.5046299955661345,0.4478520943127056,0.8896057611779792,0.9777340160765003,8.812825489852127,0.2777113119339268,0.1112215423754901,59.95066185782449,-1.064977627890187,0.8190465772637477,0.3453182807570145,-0.0214780665769895,1.0714260285514248,0.1155634654626662,0.9865,0.39934944684846235
C1_Base,CASTILLALAMANCHA,GT4,0.2566,0,0,0.7278314270499164,0.9752143587250705,24.73829316751539,0.4313005976736359,0.1232246988957315,71.42950889463518,0.3778277090768915,-0.2845229571964571,0.1167538767154792,-0.5046299955661345,0.4478520943127056,0.8896057611779792,0.9777340160765003,8.812825489852127,0.2777113119339268,0.1112215423754901,59.95066185782449,-1.064977627890187,0.8190465772637477,0.3453182807570145,-0.0214780665769895,1.096203823470078,0.0860114373562894,1.0033,0.4155429606947288
C1_Base,ARAGON,GT5,0.2595,0,0,0.7278314270499164,0.9752143587250705,24.73829316751539,0.4313005976736359,0.1232246988957315,71.42950889463518,0.3778277090768915,-0.2845229571964571,0.1167538767154792,-0.5046299955661345,0.4478520943127056,0.8896057611779792,0.9777340160765003,8.812825489852127,0.2777113119339268,0.1112215423754901,59.95066185782449,-1.064977627890187,0.8190465772637477,0.3453182807570145,-0.0214780665769895,1.1085927209294046,0.0816882579234078,0.998,0.4180193339519785
