macro_t,riesgo_t,CCAA,Cluster,cluster,dist_centroide
0.9690913725143971,0.7577371846396517,PaisVasco,2,1,0.3695151238061034
1.6832259871382433,1.6894209901443027,Ceuta_Melilla,1,2,1.0450675678896388
1.2935946242460494,0.7348814069704536,Baleares,2,1,0.8146470420763698
0.3588631364919752,0.6908338549686901,Valencia,0,0,0.6112030482518952
0.8417417530129426,0.2759933739979603,Murcia,2,1,0.9966961150240286
0.9838545388592883,1.7469206060164932,Madrid,1,2,1.0450675678896386
0.37073803759811697,0.5963178127068801,CastillaLeon,0,0,0.5462618370836423
0.7036302989539079,0.599312346795766,CastillaLaMancha,0,0,0.4480549227616636
0.6516637142426439,0.6489221362726781,Aragon,0,0,0.3066526690112367
0.5889011410903858,0.3249378980987443,Canarias,0,0,0.6740203809819099
0.6663784468140211,0.29823224514278285,Andalucia,0,0,0.8021468595362038
1.0587683323465966,0.9608781994466851,Navarra,2,1,0.7919636222831302
0.5483080624260618,0.45281056728516056,Asturias,0,0,0.3669056552894895
1.0730009493876462,0.41113728326265137,Extremadura,2,1,0.5104613191035343
0.47464174396256514,0.7025701970654761,Galicia,0,0,0.32078602933265143
0.7124759684528433,0.4248227424286965,LaRioja,0,0,0.641214715140966
0.4604886408009381,1.3560491924514817,Cantabria,0,0,1.7687016509944797
0.9721295306376212,0.60206844621115,Cataluña,2,1,0.1934628040213231
