Variable_34st_gt6,Contribución (%)_34st_gt6,Carga_PC1_34st_gt6,Max_Corr_34st_gt6,Dirección_34st_gt6,Lag_34st_gt6
Endeudamiento gt6,50.0,0.7071,0.8931,Directa,0
Macro gt6,50.0,0.7071,0.8931,Directa,0
