Variable_34st_gt7,Contribución (%)_34st_gt7,Carga_PC1_34st_gt7,Max_Corr_34st_gt7,Dirección_34st_gt7,Lag_34st_gt7
Endeudamiento gt7,50.0,0.7071,0.9292,Directa,0
Macro gt7,50.0,0.7071,0.9292,Directa,0
