Variable_34st_gt9,Contribución (%)_34st_gt9,Carga_PC1_34st_gt9,Max_Corr_34st_gt9,Dirección_34st_gt9,Lag_34st_gt9
Endeudamiento gt9,50.0,0.7071,0.7681,Directa,1
Macro gt9,50.0,0.7071,0.7561,Directa,0
