Variable_33m_gt2,Contribución (%)_33m_gt2,Carga_PC1_33m_gt2,Max_Corr_33m_gt2,Dirección_33m_gt2,Lag_33m_gt2
Renta gt2,49.63,0.7075,0.9926,Directa,0
PIB gt2,49.56,0.7066,0.9913,Directa,0
Paro gt2,0.81,-0.0116,0.355,Directa,-3
