Variable_30r_gt4,Contribución (%)_30r_gt4,Carga_PC1_30r_gt4,Max_Corr_30r_gt4,Dirección_30r_gt4,Lag_30r_gt4
OSR_CastillaLaMancha,28.52,0.5644,0.9575,Directa,1
AAPP_CastillaLaMancha,26.47,0.5239,0.8419,Directa,0
OSR_CastillaLeon,26.16,0.5177,0.9116,Directa,2
AAPP_CastillaLeon,18.84,0.3729,0.7375,Directa,-2
