Variable_33m_gt7,Contribución (%)_33m_gt7,Carga_PC1_33m_gt7,Max_Corr_33m_gt7,Dirección_33m_gt7,Lag_33m_gt7
PIB gt7,47.32,0.706,0.992,Directa,0
Renta gt7,47.13,0.7033,0.9882,Directa,0
Paro gt7,5.55,0.0828,0.3771,Directa,-3
