Variable_33m_gt6,Contribución (%)_33m_gt6,Carga_PC1_33m_gt6,Max_Corr_33m_gt6,Dirección_33m_gt6,Lag_33m_gt6
PIB gt6,45.14,0.6992,0.9931,Directa,0
Renta gt6,45.11,0.6988,0.9926,Directa,0
Paro gt6,9.75,0.151,0.4893,Directa,-3
