Variable_33m_gt3,Contribución (%)_33m_gt3,Carga_PC1_33m_gt3,Max_Corr_33m_gt3,Dirección_33m_gt3,Lag_33m_gt3
PIB gt3,43.41,0.6926,0.99,Directa,0
Renta gt3,43.17,0.6888,0.9846,Directa,0
Paro gt3,13.42,0.2142,0.4354,Directa,-3
