Variable_33m_gt9,Contribución (%)_33m_gt9,Carga_PC1_33m_gt9,Max_Corr_33m_gt9,Dirección_33m_gt9,Lag_33m_gt9
Renta gt9,47.56,0.706,0.9978,Directa,0
PIB gt9,47.44,0.7043,0.9953,Directa,0
Paro gt9,5.0,-0.0743,0.2622,Directa,-3
