Variable_29st_r_gt,Contribución (%)_29st_r_gt,Carga_PC1_29st_r_gt,Max_Corr_29st_r_gt,Dirección_29st_r_gt,Lag_29st_r_gt
Sintetico riesgos OSR por gt,50.0,0.7071,0.9185,Directa,2
Sintetico riesgos AAPP por gt,50.0,0.7071,0.8602,Directa,-1
