Variable_37st_m_remp,Contribución (%)_37st_m_remp,Carga_PC1_37st_m_remp,Max_Corr_37st_m_remp,Dirección_37st_m_remp,Lag_37st_m_remp
pc macro,50.0,0.7071,0.9469,Directa,-3
pc riesgo empresas,50.0,0.7071,0.8761,Directa,2
