Variable_6m_vab,Contribución (%)_6m_vab,Carga_PC1_6m_vab,Max_Corr_6m_vab,Dirección_6m_vab,Lag_6m_vab
VAB Sector Terciario,35.86,0.6188,0.9135,Directa,0
VAB Sector Primario,34.87,0.6017,0.8881,Directa,0
VAB Sector Secundario,29.27,0.505,0.7455,Directa,0
