Variable_34st_gt8,Contribución (%)_34st_gt8,Carga_PC1_34st_gt8,Max_Corr_34st_gt8,Dirección_34st_gt8,Lag_34st_gt8
Endeudamiento gt8,50.0,0.7071,0.8328,Directa,1
Macro gt8,50.0,0.7071,0.8205,Directa,0
