Variable_33m_gt8,Contribución (%)_33m_gt8,Carga_PC1_33m_gt8,Max_Corr_33m_gt8,Dirección_33m_gt8,Lag_33m_gt8
PIB gt8,49.58,0.7074,0.9952,Directa,0
Renta gt8,49.53,0.7067,0.9942,Directa,0
Paro gt8,0.9,0.0128,0.3048,Directa,-3
