Variable_20st_agr,Contribución (%)_20st_agr,Carga_PC1_20st_agr,Max_Corr_20st_agr,Dirección_20st_agr,Lag_20st_agr
PCA riesgos agricultura,50.0,-0.7071,-0.9254,Indirecta,2
PCA macro agricultura,50.0,0.7071,0.9551,Directa,-3
