cluster;n_grupos;Grupos_en_cluster;pc_m_s;pc_r_s
0;1;agricultura;1,336930782716351;0,41417975138388635
1;2;construccion, industria;1,2931398399080667;0,935191500586905
2;1;servicios;0,4704170820988319;1,412978376521629
