CCAA,Año,PCA_10r_emp,PCA_11r_agr,PCA_12r_ind,PCA_13r_cons,PCA_14r_serv,PCA_15r_hog,PCA_16m_agr,PCA_17m_ind,PCA_18m_cons,PCA_19m_serv,PCA_1m_estr,PCA_20st_agr,PCA_21st_ind,PCA_22st_cons,PCA_23st_serv,PCA_24r_osr_ccaa,PCA_25r_aapp_ccaa,PCA_26r_ccaa,PCA_27r_osr_gt,PCA_28r_aapp_gt,PCA_29st_r_gt,PCA_2m_coyu,PCA_30r_gt1,PCA_30r_gt2,PCA_30r_gt3,PCA_30r_gt4,PCA_30r_gt5,PCA_30r_gt6,PCA_30r_gt7,PCA_30r_gt8,PCA_30r_gt9,PCA_31st_r_ggtt,PCA_32m_ggtt,PCA_33m_gt1,PCA_33m_gt2,PCA_33m_gt3,PCA_33m_gt4,PCA_33m_gt5,PCA_33m_gt6,PCA_33m_gt7,PCA_33m_gt8,PCA_33m_gt9,PCA_34st_gt1,PCA_34st_gt2,PCA_34st_gt3,PCA_34st_gt4,PCA_34st_gt5,PCA_34st_gt6,PCA_34st_gt7,PCA_34st_gt8,PCA_34st_gt9,PCA_35st_m_rhog,PCA_36st_m_rsect,PCA_37st_m_remp,PCA_38st_m_r_ccaa,PCA_3m_fin,PCA_4m_lab,PCA_5m_inmo,PCA_6m_vab,PCA_7st_macro,PCA_8r_resi,PCA_9r_agen,PCA_exposicionSP_alta,PCA_exposicionSP_baja,PCA_exposicionSP_media,PCA_m_0_ciclo,PCA_macro_jerarquico,PCA_34m_ccaa,GT,sens_serv_promedio,sens_cons_promedio,sens_serv_burbuja,sens_cons_burbuja,sens_serv_saneo,sens_cons_saneo,sens_serv_actual,sens_cons_actual,ISC,Vanguardia,Gap_Institucional,cluster_raw,cluster,dist_centroide,cluster_4,Ind_macro_terri_pca34,Ind_riesgo_terri_pca2425
Andalucia,2000,-2.0200218606679265,-1.2235564605812046,-2.176268785094365,-1.1855986518572983,-2.9865393847737014,-2.1874856874651574,2.5163078305071176,2.917700529142382,-0.8294430433036967,-2.913728011988266,-2.151850167000631,-2.6090243758447356,-2.574554125658966,0.20596408819464687,-2.98755784142468,-5.427956875899225,-4.23712017261556,-1.7878845172075244,-5.821395997363767,-3.7890252276443968,-2.4662389768039583,2.535160728021183,-3.5549059894060275,-3.3576253075758524,-3.092988316430974,-3.1545277348136342,-3.2052496088515343,-3.220426400226421,-3.3287130585894764,-2.6637549769890616,-2.6322273572365833,-5.869326153544258,-9.721988900523765,-3.3633691900769773,-3.1257075444294284,-3.0875519617370957,-3.2142675085070183,-3.3224547833847278,-3.394325863362272,-3.1991512341000927,-3.1394648575254336,-3.2206713063024655,-3.1326068977745,-2.937784192022212,-2.951836913476463,-3.010800150162697,-3.112737833159035,-3.1099984343974834,-3.108243109617974,-2.869994491893743,-2.6363768373967034,-2.716413057930418,-3.5934379111655907,-2.203447487079464,-2.7187695315320433,1.3127974105479718,0.85449733806754,1.319201042060232,-0.27680419105994347,-1.7481050797775217,-1.6460157987018986,-2.7733768900382656,-0.5903782628712355,2.6522189119282937,0.46588266548381646,-0.7757120053810316,-1.7481050797775217,-13.630815226687526,GT6,1.4133200308227356,0.1808593968539372,1.32314828638707,0.2650333511868157,1.0524913694586273,0.0680142877561498,0.7158927261694205,0.07756096733249448,0.239,0,0,1,1,2.252290371604125,C1_Base,0.3423999999999999,0.478
Andalucia,2001,-1.8157412261752255,-1.1849545562444235,-2.106664407590427,-1.1819686976919785,-2.6913575169569586,-1.813763915161007,2.9678326154881365,2.201889585766701,-1.234362441323714,-2.2711057266870514,-1.8402951797078797,-2.7649862667482914,-2.1943588925648303,0.014783941112359332,-2.5345468104327176,-4.765437224302759,-3.8963622409097516,-1.6059963857884523,-5.262722146234662,-3.5277673338275997,-2.2586151012020217,2.026542178817342,-3.0545897927821737,-3.110319734466168,-2.808834211511414,-2.946993753306875,-2.9400234199675324,-2.9344257027847886,-2.996271408019007,-2.330331581863054,-2.5106529398542,-5.327396494698932,-8.178806754884238,-2.9124205882741143,-2.4746583239465187,-2.6221672867911,-2.6987212185878207,-2.744338441327244,-2.8572157450292215,-2.7385469693604434,-2.682517725544993,-2.7139516871432288,-2.7022011828794374,-2.5093007921572754,-2.590754401085978,-2.659189681487673,-2.7039314138618433,-2.716480978242421,-2.7268110668189567,-2.478599104607559,-2.3355027898262226,-2.4172112355589563,-3.44243037351091,-2.046302218090778,-2.512481647121632,1.1462732309907073,0.7568277959023908,1.5349064078316297,-0.10372897216396369,-1.6155505237997043,-1.5504653471805843,-2.6124213718382,-0.6694717287014295,1.8442018885141065,-0.044927597939451086,-0.7416621718168561,-1.6155505237997043,-11.470690989929173,GT6,1.4133200308227356,0.1808593968539372,1.32314828638707,0.2650333511868157,1.0524913694586273,0.0680142877561498,0.7158927261694205,0.07756096733249448,0.239,0,0,1,1,2.252290371604125,C1_Base,0.3423999999999999,0.478
Andalucia,2002,-1.387508846620895,-0.7956165566450374,-1.8749850983730512,-0.7088484656383311,-2.3201591347526946,-1.4804080541027607,2.334646639171096,1.6724037351076486,-1.3796705001670881,-1.8403202609510338,-1.688195021748526,-2.102416528993601,-1.839153995680487,-0.24752851979712695,-2.1597056187810284,-3.989548097384154,-3.628319920326999,-1.4199711380720719,-4.577083539809346,-3.354308860705201,-2.045582463983675,1.4590755001978,-2.7871106781437187,-2.7595675439319325,-2.6766155232954225,-2.562669267073583,-2.6749017121831002,-2.5686204686961167,-2.450537936076036,-1.9995558150244845,-2.1630979019012266,-4.709249477676626,-7.289454084391988,-2.963701218716256,-2.1276503902034167,-2.3862771873378392,-2.337104924808343,-2.403340635356724,-2.487611058809989,-2.3910378672785697,-2.3435251883221904,-2.295396206252623,-2.6087689621547137,-2.1920834135123517,-2.413171735254252,-2.3075161817808,-2.4134497525602905,-2.3711614982114626,-2.3062889061330223,-2.147773939674381,-1.9907505634272797,-2.1132831973175703,-2.8505216309465946,-1.7518314912373683,-2.279961230146235,1.3017180130472354,0.15813659960006346,1.6723165450817221,0.02373782792893771,-1.4151768394903594,-1.4137222610134448,-2.452660518400179,-0.5270591101080903,0.7424883175706445,-0.828277942294696,-0.7140596621971846,-1.4151768394903594,-10.156642612492604,GT6,1.4133200308227356,0.1808593968539372,1.32314828638707,0.2650333511868157,1.0524913694586273,0.0680142877561498,0.7158927261694205,0.07756096733249448,0.239,0,0,1,1,2.252290371604125,C1_Base,0.3423999999999999,0.478
Andalucia,2003,-1.064316260983153,-0.5190986568866721,-1.6978736871820375,-0.18386761976815277,-1.9927373576594307,-1.0695031084428386,2.3915328615218017,1.9565202007428881,-1.1659615028970114,-1.9735213937261689,-1.6910970962698422,-1.8501725765249493,-1.9060085208100535,-0.36294621837564994,-2.09404987222517,-2.9914881992738125,-3.3012710665106813,-1.1843338439406716,-3.6924181339632027,-3.1291929718175626,-1.7703401171765145,1.848537622137565,-2.4120235709891276,-2.3738109210766796,-2.397981652338273,-2.2594465056291178,-2.146727199236254,-2.0755491906156274,-2.115969580424173,-1.5830852356769192,-1.6605665721226028,-3.9627492557248005,-5.7625868828480264,-1.9535977268344722,-1.745407877723201,-2.0491195156753044,-1.856368208578473,-1.9119483904444297,-1.9782026875673648,-1.987052739008887,-1.8627665591576827,-1.8163864997464896,-1.9719443361590754,-1.8429039851028801,-2.1180614637828494,-1.9313808124099472,-1.9285009314246815,-1.9001194415350442,-1.9523929169926113,-1.704128719146489,-1.5554064792360291,-1.9406452745296994,-2.3937135044690914,-1.6883955521231053,-2.164377799673791,0.8914211286690258,0.8198828984822248,1.853508120691436,0.15213167983594117,-1.6160729338366278,-1.098213622728846,-2.0225990049080553,-1.3362557587846506,-0.018117434092965568,-1.1647857568191473,-0.6183911053516856,-1.6160729338366278,-8.067824807732062,GT6,1.4133200308227356,0.1808593968539372,1.32314828638707,0.2650333511868157,1.0524913694586273,0.0680142877561498,0.7158927261694205,0.07756096733249448,0.239,0,0,1,1,2.252290371604125,C1_Base,0.3423999999999999,0.478
Andalucia,2004,-0.5076607436531827,-0.15136422580627257,-1.4207018791915655,0.4450060849804118,-1.42502498832653,-0.5631214493276123,2.4412552714196423,1.8899718758220425,-1.490621282545388,-1.6022884119501342,-1.7814567815208184,-1.5035445400481997,-1.7595318800678963,-0.7732234398441287,-1.669273207150026,-1.6335676998738513,-3.4284068744068494,-0.9815716228564053,-2.4914859847100796,-3.179190259509282,-1.4976360030602305,2.670535307030972,-2.04195869833795,-2.0111766217137657,-1.9407114102620031,-1.8193916183789984,-1.7631121141618518,-1.602381080279009,-1.703655973767348,-1.0846939189090332,-1.154106679406587,-3.1530886107370644,-4.602718170976861,-1.7530273937721936,-1.2816358526200926,-1.7036641844775477,-1.4529252055221205,-1.5863950563976243,-1.5089554486116799,-1.5678625421600412,-1.46866786922208,-1.3877114732453752,-1.7157527504850336,-1.4620148015237735,-1.7365728757621268,-1.5340690263156902,-1.5919168784733913,-1.457848237242392,-1.555851163738204,-1.2643048800842522,-1.1437175728760904,-1.553100787263491,-1.7134677384468944,-1.359946521684805,-1.9618940309837658,0.04069473111813024,0.44459523415919094,2.028806050002935,0.1716501080251068,-1.476077656730441,-0.9067244487540984,-1.4577799799753548,-2.2375463530298494,-1.184156469370007,-2.5117676056603155,-0.4524840912621268,-1.476077656730441,-6.420089791609806,GT6,1.4133200308227356,0.1808593968539372,1.32314828638707,0.2650333511868157,1.0524913694586273,0.0680142877561498,0.7158927261694205,0.07756096733249448,0.239,0,0,1,1,2.252290371604125,C1_Base,0.3423999999999999,0.478
Andalucia,2005,0.528379296987938,0.4176767934834352,0.4627952066826623,1.7174925533643346,-0.4978488001991679,0.3790523130010037,2.262759563045285,1.7861936657230486,-1.7680173161843773,-1.1826454732278575,-1.8334676199163487,-0.8570759291860163,-0.9353257804664924,-1.4255965445229766,-1.0719109658254522,0.7399725971423976,-2.918976686590214,-0.4764602632392991,-0.36782614637360644,-2.7367848952815015,-0.864725608009505,3.170184929175359,-1.4170322489370555,-1.0075070402894757,-1.0572813038395092,-0.8331626706238368,-0.6960783665948191,-0.5498854723427219,-0.8190523894788082,-0.1747275108781229,-0.4464402826515805,-1.457701192000507,-3.077126602135443,-1.1522150513498228,-0.8119864352899393,-1.3182816083310065,-0.960827216671252,-1.088636117559615,-0.9572450205826539,-0.9976896130670646,-0.9858763564877544,-0.7886870758822636,-1.1605959831895931,-0.8180569544073242,-1.1390590706175614,-0.8516936712305114,-0.8591034865969358,-0.7190471806093665,-0.8707458117533154,-0.5802693480081014,-0.5684501579540405,-0.975448690055854,-0.14107908602892172,-0.8920917103155528,-1.5770156243860791,-0.31237061787772097,0.4592827202442983,2.234298349452871,-0.036568061134387354,-1.5335947736816882,-0.39483787371665036,-0.6968049137502327,-2.8246803485994825,-2.4899721898937006,-3.0982633587849255,-0.3466821232959888,-1.5335947736816882,-4.1580955162304445,GT6,1.4133200308227356,0.1808593968539372,1.32314828638707,0.2650333511868157,1.0524913694586273,0.0680142877561498,0.7158927261694205,0.07756096733249448,0.239,0,0,1,1,2.252290371604125,C1_Base,0.3423999999999999,0.478
Andalucia,2006,1.7833523384459709,0.9093541376925398,1.618135732884243,3.0505752592382755,0.7058078878721752,1.3523703785266163,1.64968048849461,1.5128286153736286,-2.0423416930719243,-0.7177248289998402,-1.4654343144404989,-0.10074263153525617,-0.32674382938041463,-2.1014086636702927,-0.3376519205824604,3.3745961617281597,-2.862680779590751,-0.02066170445053893,2.030704327370901,-2.732997705894127,-0.2906546930351706,3.3838815337287715,-0.4805667691714605,-0.04075687985289005,0.029246829125729196,-0.09539942258924115,0.09138613860893945,0.3993825965178157,0.07274376105147856,0.8373420099596521,0.3381776274117931,0.24155931387117585,-1.5214092250444193,-0.7313256406004163,-0.2698170458334111,-0.8340416763080818,-0.43558753720188564,-0.5572162767658397,-0.45864843643508085,-0.4234783792986589,-0.42835000254533884,-0.2469624717570505,-0.5528036628707395,-0.15252857845421042,-0.39910376134216335,-0.26190291277489736,-0.23644833504030488,-0.05221038772496229,-0.18037075918888332,0.19085397817557226,0.00811032142244741,-0.441041072315282,1.2297032034930806,-0.3830863002431617,-1.3063137416417898,-0.11208775584173938,0.8439526361183466,2.47818873875928,0.42888759899705975,-1.731238905536085,0.11164871060415062,0.1493128159210881,-3.7726599942599455,-3.6489718816498637,-3.962966526191587,0.28803430008053255,-1.731238905536085,-1.9766650781325796,GT6,1.4133200308227356,0.1808593968539372,1.32314828638707,0.2650333511868157,1.0524913694586273,0.0680142877561498,0.7158927261694205,0.07756096733249448,0.239,0,0,1,1,2.252290371604125,C1_Base,0.3423999999999999,0.478
Andalucia,2007,3.003354228038048,1.3913461700632126,3.3013423896319067,4.009125297061201,1.9518602684267912,1.9965654954339886,1.084196272208424,1.3522700916288448,-2.2567971328903695,-0.35787371941315343,-1.08791218052788,0.6253844656768194,0.4431290836628201,-2.5954088402013262,0.3597619188895873,5.719458655393837,-2.41567375312059,0.46675722405258874,4.117712774349912,-2.5926629794132507,0.24775519642541574,3.0922289195704837,0.587714769517639,0.9353227129185121,0.8359131207911454,0.754499280650247,0.7992188908085566,1.239269793777898,0.9974286409283876,1.8478625429003077,1.1699870394546854,1.9059179049666743,0.006710549180318428,-0.09294856139296925,0.1409579458975678,-0.44048333316358157,0.09187560369602855,-0.057472512270581616,0.12699529534440088,0.14478906232459107,0.04379226592250369,0.23802393256517068,0.2145143795438186,0.4505609321994519,0.16709957939865824,0.37834694659752127,0.3342467264590314,0.6097262670178886,0.521816643367355,0.9183104695721537,0.574657089041655,0.035904399056480595,2.7171227887601854,0.2626376853161436,-0.8594179868731696,0.2092293855833046,0.5052534246619047,2.439971974683076,0.9494761151920673,-1.5887769067709738,0.6629315490867541,0.7850621646698824,-4.239267003242461,-4.248558943757174,-4.19240735118118,0.8124104925375473,-1.5887769067709738,0.16520535680517276,GT6,1.4133200308227356,0.1808593968539372,1.32314828638707,0.2650333511868157,1.0524913694586273,0.0680142877561498,0.7158927261694205,0.07756096733249448,0.239,0,0,1,1,2.252290371604125,C1_Base,0.3423999999999999,0.478
Andalucia,2008,3.560423692845885,1.6070750845801118,4.218645752052231,3.8487220306068752,2.8341018029598453,2.0408039016417847,-0.07806163896938834,0.8942123450330612,-1.496126627037799,0.056110867189719485,-0.5249120592598837,1.3422115513917932,1.044714887120822,-2.173208603685593,0.9357531429563227,6.712626311582351,-1.0688351673038359,0.9116156387704957,5.00083065494155,-1.5997900293008367,0.7405606124198367,-0.7450778391867146,1.0109726383401596,1.7562517376283526,1.2432357414113924,1.5676626218842304,1.4599203261288247,1.984914733354005,1.4177561354747312,2.355240650734738,1.7613305655220848,3.021574212926237,1.2830347978732837,0.25415617337082413,0.5199012319538175,0.09925197987032197,0.4619882343164142,0.510599550416234,0.5848046282021517,0.5004808258611926,0.44370988289937424,0.4954469094933636,0.5625536171676486,0.9746530032665734,0.6216881377705282,0.9229873918471541,0.9176229864302503,1.166462218498977,0.8900102481779215,1.3654180148215347,0.9337118341362405,0.42186407236207,3.4608197441970887,0.8857656083371114,-0.14628668157050323,0.4845799154321513,0.8730556710456724,1.34990397146563,0.8375875566168466,-0.7958230084945052,0.9281636923754287,1.3010017634062803,-3.8717750126371455,-3.3789769952018003,-3.714918033744441,0.4728807384910999,-0.7958230084945052,1.907184522528116,GT6,1.4133200308227356,0.1808593968539372,1.32314828638707,0.2650333511868157,1.0524913694586273,0.0680142877561498,0.7158927261694205,0.07756096733249448,0.239,0,0,1,1,2.252290371604125,C1_Base,0.3423999999999999,0.478
Andalucia,2009,2.9506314503533555,0.9329115329483835,3.3794934984869585,2.8930157238725354,2.657230720629268,1.8698946516794552,-0.5091707363218282,-0.18000886567933283,-0.5904011919775075,-0.0015641867980827533,0.5273605418546016,0.8532549562160971,1.2278984525972099,-1.356541339472056,0.8333528583652986,6.432166297351566,1.2802798646338778,1.3481763953784596,4.723940811306399,-0.1785643391837615,1.0778371581530373,-2.0998997035832296,1.6864837352294857,2.2671218758928537,1.682626218891903,2.2169180031587454,1.7911953400984375,2.1629709750419646,1.6104633756830473,2.459736764523328,2.2583879017867563,3.7548870956894063,0.7353538094622906,0.3396528879330782,0.02893408517869238,0.24680652625259897,0.2330431172168114,0.32978847458741994,0.3779748778436563,0.19646233134213661,0.15989915209170766,0.14872475820983266,0.8990212531929885,0.9344901860375695,0.8970467135115235,1.0930463406191033,0.9778600150615857,1.1420148597057216,0.8237538124102967,1.2734553830636435,0.9537711920837412,0.8490004746337485,2.540797931396269,1.1317552874841499,0.7645311127366706,0.18782855733549375,-0.322933885088569,0.13190708644454707,0.17840365857914595,0.394049080885492,0.933757391264044,1.7651966705143778,-2.6447695185331224,-1.9251300880640345,-2.6667106956050213,-0.5270742216877052,0.394049080885492,0.9863720410011946,GT6,1.4133200308227356,0.1808593968539372,1.32314828638707,0.2650333511868157,1.0524913694586273,0.0680142877561498,0.7158927261694205,0.07756096733249448,0.239,0,0,1,1,2.252290371604125,C1_Base,0.3423999999999999,0.478
