Variable_34st_gt2,Contribución (%)_34st_gt2,Carga_PC1_34st_gt2,Max_Corr_34st_gt2,Dirección_34st_gt2,Lag_34st_gt2
Endeudamiento gt2,50.0,0.7071,0.8542,Directa,0
Macro gt2,50.0,0.7071,0.8542,Directa,0
